worker_id,assigned_tasks,avg_difficulty,locality_rating,citizen_rating
1001,2,4,3,2
1002,3,5,3,4
1003,2,3,5,2
1004,23,2,5,1
1005,17,5,5,5
1006,17,5,5,1
1007,1,3,2,4
1008,4,3,4,2
1009,27,4,1,1
1010,15,2,1,3
1011,4,3,3,3
1012,15,2,1,4
1013,3,1,2,3
1014,18,2,5,3
1015,11,3,1,4
1016,27,5,4,5
1017,3,4,2,4
1018,19,1,3,5
1019,15,2,4,3
1020,7,2,4,3
1021,9,3,4,5
1022,18,5,5,3
1023,23,3,5,5
1024,7,1,1,3
1025,25,5,2,1
1026,3,4,3,4
1027,13,1,4,5
1028,28,3,4,5
1029,1,2,4,1
1030,12,2,3,5
1031,1,2,3,1
1032,1,1,4,1
1033,28,4,2,5
1034,23,4,5,2
1035,6,1,5,1
1036,1,5,4,1
1037,17,5,5,1
1038,6,3,4,5
1039,14,3,1,3
1040,1,4,2,2
1041,22,1,4,1
1042,15,1,4,2
1043,25,3,4,3
1044,10,2,1,1
1045,3,5,1,4
1046,2,1,3,1
1047,26,1,2,5
1048,27,1,3,3
1049,1,1,3,4
1050,1,1,3,2
1051,3,5,1,4
1052,4,4,5,2
1053,1,2,4,3
1054,10,1,2,2
1055,9,2,1,4
1056,24,4,2,5
1057,13,5,2,1
1058,7,3,5,4
1059,5,2,4,5
1060,28,2,1,2
1061,19,3,3,5
1062,10,4,4,4
1063,24,3,3,5
1064,9,2,3,4
1065,3,2,1,2
1066,14,3,1,2
1067,27,3,5,1
1068,21,3,1,1
1069,2,4,3,4
1070,11,2,1,5
1071,4,2,1,3
1072,22,1,4,4
1073,13,2,5,5
1074,1,3,3,3
1075,24,2,5,5
1076,22,1,1,1
1077,2,4,2,3
1078,11,1,1,4
1079,21,3,4,4
1080,7,4,4,2
1081,4,5,5,5
1082,3,1,1,4
1083,11,3,4,3
1084,7,3,5,1
1085,8,1,3,4
1086,3,2,1,4
1087,6,1,1,3
1088,9,5,3,2
1089,23,4,3,2
1090,23,1,4,3
1091,10,2,3,3
1092,10,4,1,5
1093,9,3,2,3
1094,11,5,4,2
1095,16,2,1,2
1096,27,4,5,4
1097,10,2,4,4
1098,1,1,5,4
1099,6,1,5,4
1100,2,3,4,5
1101,26,2,3,3
1102,16,1,4,3
1103,2,1,4,2
1104,1,2,3,4
1105,10,1,3,3
1106,24,3,5,1
1107,22,5,5,5
1108,12,1,1,5
1109,11,4,1,1
1110,12,4,4,4
1111,21,5,4,2
1112,10,2,5,1
1113,12,2,5,4
1114,3,1,2,3
1115,4,3,3,2
1116,21,4,2,5
1117,6,2,3,1
1118,20,4,1,1
1119,20,2,3,2
1120,11,4,2,5
1121,18,4,5,5
1122,18,2,1,4
1123,13,4,5,2
1124,3,3,4,5
1125,2,1,1,4
1126,23,1,1,3
1127,6,2,1,2
1128,28,5,5,1
1129,11,3,4,4
1130,16,4,5,2
1131,13,2,1,2
1132,2,1,3,1
1133,25,3,2,2
1134,8,4,5,1
1135,5,2,1,4
1136,10,3,2,1
1137,16,4,5,3
1138,12,3,2,3
1139,21,3,5,1
1140,20,2,1,5
1141,20,3,5,5
1142,15,5,4,3
1143,22,5,2,1
1144,21,2,1,3
1145,28,3,1,3
1146,3,3,2,1
1147,20,5,1,5
1148,9,4,1,4
1149,8,5,1,5
1150,29,1,2,4